Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
24,2025-04-02,AMZN,bull,4.45,10.17,0.4526,349408.49,33.66,1.4978,286354.23,68.89,3.0656,128846.7,33.2,1.4775,235390.59,4.45,1075823.76,Cooperator
25,2025-03-28,AMZN,bull,-2.87,41.0,-1.1768,349187.47,34.29,-0.9843,297771.47,72.16,-2.071,104520.99,31.66,-0.9087,248520.07,-2.87,1044947.62,Tit-for-Tat
26,2025-03-25,AMZN,bull,1.04,5.0,0.052,313260.21,40.47,0.4209,315553.77,67.17,0.6986,123556.83,26.66,0.2773,247629.18,1.04,1055815.08,Cooperator
27,2025-03-20,AMZN,bull,0.97,39.41,0.3823,316932.82,24.81,0.2406,293393.65,72.98,0.7079,148282.74,32.83,0.3185,241390.78,0.97,1066056.48,Signal Follower
28,2025-03-17,AMZN,bull,-1.52,43.78,-0.6655,314409.84,35.76,-0.5436,307508.66,68.83,-1.0462,121156.53,33.44,-0.5082,256924.97,-1.52,1049852.42,Tit-for-Tat
29,2025-03-12,AMZN,bull,-0.91,41.0,-0.3731,316737.61,42.18,-0.3838,307028.34,66.17,-0.6021,98796.78,31.5,-0.2867,277437.26,-0.91,1040298.77,Defector
30,2025-03-07,AMZN,bull,-0.12,39.41,-0.0473,326268.44,33.17,-0.0398,331165.11,65.89,-0.0791,81414.57,50.82,-0.061,261151.88,-0.12,1039050.41,Defector
31,2025-03-04,AMZN,bull,1.84,39.41,0.7251,323164.4,36.83,0.6777,322291.3,15.0,0.276,67300.05,55.71,1.025,287244.26,1.84,1058168.94,Tit-for-Tat
32,2025-02-27,AMZN,bull,-4.4,41.0,-1.8041,316479.8,33.79,-1.4869,347344.23,27.0,-1.188,78774.57,47.1,-2.0722,257401.41,-4.4,1011609.5,Defector
33,2025-02-24,AMZN,bear,-2.18,41.0,-0.8938,278820.26,34.96,-0.762,342721.5,27.0,-0.5886,88682.37,27.0,-0.5886,289775.87,-2.18,989556.42,Defector
34,2025-02-19,AMZN,bear,0.49,47.86,0.2345,297575.31,28.46,0.1394,323820.16,67.84,0.3324,105825.34,27.9,0.1367,272779.19,0.49,994405.24,Signal Follower
35,2025-02-13,AMZN,bear,0.66,10.17,0.0671,264156.17,36.51,0.2409,330593.95,67.63,0.4464,124700.92,38.0,0.2508,280548.96,0.66,1000968.32,Cooperator
36,2025-02-10,AMZN,bear,1.12,5.0,0.056,236023.65,33.02,0.3699,335641.38,70.89,0.7939,147121.26,30.05,0.3366,281213.7,1.12,1012179.16,Cooperator
37,2025-02-05,AMZN,bear,-0.36,5.0,-0.018,259990.07,30.49,-0.1098,335683.68,73.65,-0.2652,121876.59,29.42,-0.1059,282449.67,-0.36,1008535.32,Signal Follower
38,2025-01-31,AMZN,bear,0.5,5.0,0.025,239846.12,31.04,0.1552,343541.76,74.18,0.3709,145102.78,15.0,0.075,271509.35,0.5,1013577.99,Cooperator
39,2025-01-28,AMZN,sideways,1.65,5.0,0.0825,217601.61,27.47,0.4533,341692.82,76.49,1.2621,171972.93,26.23,0.4327,268732.64,1.65,1030302.03,Defector
40,2025-01-23,AMZN,sideways,0.56,5.0,0.028,188688.75,30.95,0.1733,329763.03,75.22,0.4212,194708.24,58.05,0.3251,286839.98,0.56,1036071.72,Tit-for-Tat
41,2025-01-17,AMZN,sideways,0.04,47.86,0.0191,186324.86,37.54,0.015,295499.69,69.33,0.0277,229287.67,50.08,0.02,288887.77,0.04,1036486.15,Tit-for-Tat
42,2025-01-14,AMZN,sideways,-1.22,41.0,-0.5002,186063.84,47.13,-0.575,271988.45,27.0,-0.3294,269908.36,45.47,-0.5547,272039.35,-1.22,1023841.02,Defector
43,2025-01-08,AMZN,sideways,-0.47,41.0,-0.1927,156751.3,34.58,-0.1625,258633.0,27.0,-0.1269,291158.47,27.0,-0.1269,293457.23,-0.47,1019028.97,Defector
44,2025-01-03,AMZN,bull,0.76,10.17,0.0773,138927.75,25.17,0.1913,246919.97,67.9,0.5161,334744.54,24.6,0.187,279407.74,0.76,1026773.59,Defector
45,2024-12-30,AMZN,bull,0.56,39.41,0.2207,128338.89,25.61,0.1434,210784.4,75.01,0.4201,369808.18,62.61,0.3506,291068.54,0.56,1032523.52,Defector
46,2024-12-24,AMZN,sideways,0.93,5.0,0.0465,114157.65,48.74,0.4533,221794.05,10.0,0.093,335824.45,69.01,0.6418,328223.86,0.93,1042125.99,Tit-for-Tat
47,2024-12-19,AMZN,sideways,-0.72,5.0,-0.036,127782.19,24.86,-0.179,224119.91,10.0,-0.072,366701.63,52.81,-0.3802,281396.27,-0.72,1034622.68,Signal Follower
48,2024-12-16,AMZN,bull,1.17,41.0,0.4797,127819.34,23.92,0.2799,206593.81,71.22,0.8333,417732.13,15.0,0.1755,247854.72,1.17,1046727.77,Defector
49,2024-12-11,AMZN,bull,1.7,10.17,0.1729,105841.71,32.69,0.5557,190437.65,71.68,1.2186,452886.04,54.36,0.924,250834.6,1.7,1064522.14,Defector
50,2024-12-06,AMZN,bull,2.84,10.17,0.2889,86529.37,34.78,0.9878,175203.41,68.8,1.9539,480801.31,60.34,1.7138,257465.91,2.84,1094754.57,Defector
51,2024-12-03,AMZN,bull,1.49,36.21,0.5395,73618.43,38.06,0.567,151216.9,67.45,1.005,508936.09,63.77,0.9501,266228.58,1.49,1111066.41,Defector
52,2024-11-27,AMZN,bull,-0.6,5.0,-0.03,80897.33,46.27,-0.2776,140473.31,10.0,-0.06,548779.73,62.21,-0.3732,229849.63,-0.6,1104400.01,Signal Follower
53,2024-11-22,AMZN,bull,-0.57,36.17,-0.2062,85183.41,23.11,-0.1318,157913.08,66.09,-0.3767,488350.12,15.0,-0.0855,268553.4,-0.57,1098104.93,Signal Follower
54,2024-11-19,AMZN,bull,2.65,10.17,0.2695,71162.15,30.36,0.8045,145195.36,72.62,1.9244,534955.36,31.94,0.8463,248687.12,2.65,1127204.71,Defector
55,2024-11-14,AMZN,bull,-1.25,5.0,-0.0625,86976.26,32.75,-0.4093,160531.74,72.92,-0.9115,501142.28,55.33,-0.6917,251349.72,-1.25,1113114.65,Signal Follower
56,2024-11-11,AMZN,bull,-0.8,5.0,-0.04,101839.56,37.5,-0.3,165700.67,69.49,-0.5559,448882.43,15.0,-0.12,283577.34,-0.8,1104209.74,Signal Follower
57,2024-11-06,AMZN,bull,3.54,47.86,1.6943,101994.11,27.3,0.9663,151449.64,75.42,2.6697,502210.24,15.0,0.531,244346.0,3.54,1143298.76,Defector
58,2024-11-01,AMZN,bull,-0.54,5.0,-0.027,124221.25,38.79,-0.2095,162381.0,69.97,-0.3779,470913.06,57.29,-0.3094,242484.69,-0.54,1137124.95,Signal Follower
59,2024-10-29,AMZN,bull,1.19,5.0,0.0595,105892.49,37.25,0.4433,159080.08,68.15,0.811,518754.98,15.0,0.1785,216272.45,1.19,1150656.73,Defector
60,2024-10-24,AMZN,bull,0.61,5.0,0.0305,87042.19,25.93,0.1581,142592.33,75.46,0.4603,556308.35,52.21,0.3185,214057.13,0.61,1157675.74,Defector
61,2024-10-21,AMZN,bull,0.54,5.0,0.027,69879.88,37.35,0.2017,131350.77,71.14,0.3842,581217.44,63.37,0.3422,217551.9,0.54,1163927.19,Defector
62,2024-10-16,AMZN,bull,-0.09,10.17,-0.0092,85209.86,35.55,-0.032,145126.03,67.38,-0.0606,558717.9,65.53,-0.059,210946.22,-0.09,1162879.65,Signal Follower
63,2024-10-11,AMZN,bull,1.17,10.17,0.119,72140.35,36.39,0.4257,138954.23,66.46,0.7776,606007.04,15.0,0.1755,182898.37,1.17,1176485.35,Defector
64,2024-10-08,AMZN,bull,0.44,41.0,0.1804,63630.16,29.48,0.1297,113709.97,74.74,0.3289,647565.65,54.62,0.2403,175094.22,0.44,1181661.88,Defector
65,2024-10-03,AMZN,bull,-0.6,5.79,-0.0348,68052.56,47.03,-0.2822,102877.64,10.0,-0.06,681686.26,62.79,-0.3768,147383.54,-0.6,1174571.91,Signal Follower
66,2024-09-30,AMZN,bull,-0.43,5.0,-0.0215,82642.59,23.47,-0.1009,115835.21,65.73,-0.2826,629597.86,15.0,-0.0645,171924.34,-0.43,1169521.25,Signal Follower
67,2024-09-25,AMZN,sideways,-0.63,5.0,-0.0315,98711.41,25.3,-0.1594,129189.27,77.75,-0.4899,573448.58,15.0,-0.0945,198650.75,-0.63,1162153.27,Signal Follower
68,2024-09-20,AMZN,sideways,0.72,10.17,0.0732,84440.0,25.81,0.1858,117539.47,77.45,0.5576,624753.38,15.0,0.108,173267.15,0.72,1170520.77,Defector
69,2024-09-17,AMZN,sideways,0.02,36.17,0.0072,72618.28,29.04,0.0058,96951.53,76.5,0.0153,661631.62,59.31,0.0119,168798.57,0.02,1170754.88,Defector
70,2024-09-12,AMZN,sideways,1.19,47.86,0.5695,77313.16,44.62,0.531,100625.01,31.5,0.3749,614949.76,67.5,0.8033,207112.07,1.19,1184686.86,Defector
71,2024-09-09,AMZN,sideways,0.5,5.0,0.025,70843.07,40.99,0.205,117797.21,10.0,0.05,585212.99,29.85,0.1492,226146.73,0.5,1190610.29,Tit-for-Tat
72,2024-09-04,AMZN,sideways,-0.66,5.0,-0.033,84319.04,14.81,-0.0978,135339.57,72.36,-0.4776,530592.33,25.4,-0.1676,249749.06,-0.66,1182752.27,Signal Follower
73,2024-08-29,AMZN,sideways,-0.64,5.0,-0.032,98656.36,29.67,-0.1899,145531.06,77.47,-0.4958,473186.09,15.0,-0.096,282626.49,-0.64,1175182.65,Signal Follower
74,2024-08-26,AMZN,sideways,-0.68,15.75,-0.1071,111059.4,27.06,-0.184,156991.72,76.72,-0.5217,412915.33,15.0,-0.102,319033.55,-0.68,1167191.41,Signal Follower
75,2024-08-21,AMZN,sideways,0.11,5.0,0.0055,96468.0,30.88,0.034,150983.0,75.37,0.0829,463183.95,15.67,0.0172,289365.05,0.11,1168475.32,Defector
76,2024-08-16,AMZN,sideways,0.01,7.25,0.0007,79748.18,25.41,0.0025,134462.35,76.41,0.0076,495649.28,57.26,0.0057,290140.19,0.01,1168592.17,Defector
77,2024-08-13,AMZN,sideways,1.44,36.17,0.5208,67288.96,37.98,0.5469,114962.48,70.01,1.0082,522022.76,64.53,0.9292,295725.8,1.44,1185419.89,Defector
78,2024-08-08,AMZN,sideways,0.38,47.86,0.1819,69256.32,44.35,0.1685,114986.07,31.5,0.1197,466576.66,66.16,0.2514,349180.95,0.38,1189924.49,Tit-for-Tat
79,2024-08-05,AMZN,bull,4.42,41.0,1.8123,70513.58,42.06,1.8588,118345.2,27.0,1.1934,406448.09,54.41,2.4051,404693.14,4.42,1242519.15,Tit-for-Tat
80,2024-07-31,AMZN,bull,1.04,36.17,0.3762,72991.86,33.66,0.3501,119712.51,17.0,0.1768,347373.52,46.93,0.4881,459922.11,1.04,1255441.35,Tit-for-Tat
81,2024-07-26,AMZN,bull,1.17,41.0,0.4797,67786.05,31.46,0.368,102307.52,65.54,0.7668,388740.13,44.94,0.5258,441166.31,1.17,1270130.01,Defector
82,2024-07-23,AMZN,bull,1.25,47.86,0.5983,61306.07,40.32,0.5039,84638.74,65.43,0.8179,421395.61,55.33,0.6916,432659.58,1.25,1286006.64,Defector
83,2024-07-18,AMZN,bull,-3.08,41.0,-1.2629,62341.85,47.45,-1.4613,81193.54,27.0,-0.8316,481263.17,57.75,-1.7786,375201.44,-3.08,1246397.64,Signal Follower
84,2024-07-15,AMZN,bull,-0.95,10.17,-0.0966,67988.09,32.34,-0.3072,72808.2,10.0,-0.095,525572.62,33.2,-0.3154,333631.08,-0.95,1234556.86,Signal Follower
85,2024-07-10,AMZN,bull,-0.11,5.0,-0.0055,78908.81,17.0,-0.0187,80961.62,72.38,-0.0796,466433.18,15.0,-0.0165,373696.39,-0.11,1233198.85,Signal Follower
86,2024-07-05,AMZN,bull,0.68,47.86,0.3255,78732.49,27.9,0.1898,74232.92,78.83,0.5361,523940.71,15.0,0.102,323093.87,0.68,1241584.6,Defector
87,2024-07-01,AMZN,bull,1.92,47.86,0.9189,69326.63,38.26,0.7346,60122.22,69.87,1.3416,546189.5,64.63,1.241,324361.65,1.92,1265423.02,Defector
88,2024-06-26,AMZN,bull,3.58,39.41,1.4108,72475.31,42.35,1.516,64027.28,15.0,0.537,482384.18,58.9,2.1085,381113.23,3.58,1310725.17,Tit-for-Tat
89,2024-06-21,AMZN,bull,0.68,5.0,0.034,63933.24,32.38,0.2202,66976.7,10.0,0.068,439968.95,45.73,0.311,429121.11,0.68,1319638.1,Tit-for-Tat
90,2024-06-17,AMZN,bull,0.84,10.17,0.0854,53859.1,17.17,0.1442,58273.28,71.15,0.5976,476543.53,39.58,0.3325,411324.08,0.84,1330723.06,Defector
