Round,Date,Ticker,Regime,Market_Return_Pct,Signal_Follower_Position,Signal_Follower_Return,Signal_Follower_Capital,Cooperator_Position,Cooperator_Return,Cooperator_Capital,Defector_Position,Defector_Return,Defector_Capital,Tit_for_Tat_Position,Tit_for_Tat_Return,Tit_for_Tat_Capital,Benchmark_Return,Benchmark_Capital,Winner
40,2025-01-23,JPM,bear,0.48,52.5,0.252,343249.11,50.0,0.24,82042.01,55.0,0.264,382225.49,58.75,0.282,192483.4,0.48,260466.03,Defector
41,2025-01-17,JPM,sideways,1.98,52.5,1.0395,323055.36,50.0,0.99,71715.79,55.0,1.089,385360.76,60.0,1.188,219868.09,1.98,265623.26,Defector
42,2025-01-14,JPM,sideways,1.98,53.96,1.0685,330768.92,70.0,1.386,84326.23,40.0,0.792,343565.06,61.75,1.2227,241339.79,1.98,270882.6,Signal Follower
43,2025-01-08,JPM,bull,0.16,52.5,0.084,346990.56,70.0,0.112,100863.59,40.0,0.064,324322.87,40.0,0.064,227822.98,0.16,271316.01,Signal Follower
44,2025-01-03,JPM,bull,-0.25,52.5,-0.1312,346123.22,70.0,-0.175,84382.62,55.0,-0.1375,316057.45,40.0,-0.1,253436.72,-0.25,270637.72,Cooperator
45,2024-12-30,JPM,bull,0.23,67.12,0.1544,377829.48,70.0,0.161,94399.65,55.0,0.1265,308994.33,42.83,0.0985,218776.54,0.23,271260.19,Signal Follower
46,2024-12-24,JPM,bull,1.2,52.5,0.63,392182.26,50.0,0.6,93907.35,55.0,0.66,334081.57,40.0,0.48,179828.82,1.2,274515.31,Signal Follower
47,2024-12-19,JPM,bull,0.3,64.78,0.1943,426444.66,50.0,0.15,89276.19,40.0,0.12,286709.03,66.0,0.198,197570.12,0.3,275338.86,Signal Follower
48,2024-12-16,JPM,bull,-0.43,50.43,-0.2168,437241.6,70.0,-0.301,72423.31,55.0,-0.2365,279631.59,46.67,-0.2007,210703.5,-0.43,274154.9,Cooperator
49,2024-12-11,JPM,bull,-0.19,54.24,-0.103,414053.87,50.0,-0.095,74449.27,55.0,-0.1045,260715.5,41.52,-0.0789,250781.36,-0.19,273634.01,Cooperator
50,2024-12-06,JPM,bull,0.68,52.5,0.357,433308.69,50.0,0.34,74668.61,55.0,0.374,284195.58,40.0,0.272,207827.12,0.68,275494.72,Signal Follower
51,2024-12-03,JPM,sideways,-1.37,52.5,-0.7193,417228.82,50.0,-0.685,75237.72,55.0,-0.7535,260936.77,40.0,-0.548,246596.68,-1.37,271720.44,Cooperator
52,2024-11-27,JPM,sideways,0.18,52.5,0.0945,412256.92,50.0,0.09,72611.44,70.0,0.126,299819.68,40.0,0.072,215311.96,0.18,272209.54,Signal Follower
53,2024-11-22,JPM,sideways,2.03,52.5,1.0657,427364.79,50.0,1.015,72139.47,55.0,1.1165,323743.33,40.0,0.812,176752.41,2.03,277735.39,Signal Follower
54,2024-11-19,JPM,sideways,0.35,52.5,0.1838,462041.5,60.0,0.21,82145.76,25.0,0.0875,281676.95,40.0,0.14,174135.79,0.35,278707.47,Signal Follower
55,2024-11-14,JPM,sideways,-0.23,52.5,-0.1208,461892.68,70.0,-0.161,68873.28,55.0,-0.1265,275097.58,40.0,-0.092,194136.45,-0.23,278066.44,Cooperator
56,2024-11-11,JPM,sideways,-0.3,52.5,-0.1575,459631.73,70.0,-0.21,57481.12,55.0,-0.165,267442.89,40.0,-0.12,215444.26,-0.3,277232.24,Cooperator
57,2024-11-06,JPM,bull,5.13,52.5,2.6932,476844.17,50.0,2.565,57151.65,55.0,2.8215,289006.39,40.0,2.052,176997.79,5.13,291454.25,Signal Follower
58,2024-11-01,JPM,bull,-0.28,52.5,-0.147,458163.6,90.0,-0.252,47214.89,15.0,-0.042,316611.01,40.0,-0.112,178010.49,-0.28,290638.18,Defector
59,2024-10-29,JPM,bull,-1.03,52.5,-0.5407,472075.17,85.0,-0.8755,37301.36,55.0,-0.5665,320371.36,62.5,-0.6437,170252.1,-1.03,287644.61,Cooperator
60,2024-10-24,JPM,bull,1.42,52.5,0.7455,456500.14,70.0,0.994,41283.99,70.0,0.994,354577.06,40.0,0.568,147638.81,1.42,291729.16,Signal Follower
61,2024-10-21,JPM,bull,-0.99,52.5,-0.5198,404895.43,50.0,-0.495,38445.54,40.0,-0.396,393015.3,40.0,-0.396,163643.73,-0.99,288841.04,Cooperator
62,2024-10-16,JPM,bull,0.59,52.5,0.3098,412862.74,50.0,0.295,37570.41,55.0,0.3245,417428.58,40.0,0.236,132138.26,0.59,290545.21,Defector
